base_name,frontal_image,lateral_image,frontal_mask,lateral_mask,folder
csr0050a,csr0050a_frontal.png,csr0050a_lateral.png,csr0050a_frontal_mask.png,csr0050a_lateral_mask.png,train
csr0051a,csr0051a_frontal.png,csr0051a_lateral.png,csr0051a_frontal_mask.png,csr0051a_lateral_mask.png,train
csr0052a,csr0052a_frontal.png,csr0052a_lateral.png,csr0052a_frontal_mask.png,csr0052a_lateral_mask.png,train
csr0053a,csr0053a_frontal.png,csr0053a_lateral.png,csr0053a_frontal_mask.png,csr0053a_lateral_mask.png,train
csr0054a,csr0054a_frontal.png,csr0054a_lateral.png,csr0054a_frontal_mask.png,csr0054a_lateral_mask.png,train
csr0055a,csr0055a_frontal.png,csr0055a_lateral.png,csr0055a_frontal_mask.png,csr0055a_lateral_mask.png,train
csr0056a,csr0056a_frontal.png,csr0056a_lateral.png,csr0056a_frontal_mask.png,csr0056a_lateral_mask.png,train
csr0057a,csr0057a_frontal.png,csr0057a_lateral.png,csr0057a_frontal_mask.png,csr0057a_lateral_mask.png,train
csr0058a,csr0058a_frontal.png,csr0058a_lateral.png,csr0058a_frontal_mask.png,csr0058a_lateral_mask.png,train
csr0059a,csr0059a_frontal.png,csr0059a_lateral.png,csr0059a_frontal_mask.png,csr0059a_lateral_mask.png,train
csr0060a,csr0060a_frontal.png,csr0060a_lateral.png,csr0060a_frontal_mask.png,csr0060a_lateral_mask.png,train
csr0062a,csr0062a_frontal.png,csr0062a_lateral.png,csr0062a_frontal_mask.png,csr0062a_lateral_mask.png,train
csr0063a,csr0063a_frontal.png,csr0063a_lateral.png,csr0063a_frontal_mask.png,csr0063a_lateral_mask.png,train
csr0064a,csr0064a_frontal.png,csr0064a_lateral.png,csr0064a_frontal_mask.png,csr0064a_lateral_mask.png,test
csr0065a,csr0065a_frontal.png,csr0065a_lateral.png,csr0065a_frontal_mask.png,csr0065a_lateral_mask.png,train
csr0067a,csr0067a_frontal.png,csr0067a_lateral.png,csr0067a_frontal_mask.png,csr0067a_lateral_mask.png,test
csr0068a,csr0068a_frontal.png,csr0068a_lateral.png,csr0068a_frontal_mask.png,csr0068a_lateral_mask.png,train
csr0069a,csr0069a_frontal.png,csr0069a_lateral.png,csr0069a_frontal_mask.png,csr0069a_lateral_mask.png,train
csr0070a,csr0070a_frontal.png,csr0070a_lateral.png,csr0070a_frontal_mask.png,csr0070a_lateral_mask.png,val
csr0071a,csr0071a_frontal.png,csr0071a_lateral.png,csr0071a_frontal_mask.png,csr0071a_lateral_mask.png,train
csr0072a,csr0072a_frontal.png,csr0072a_lateral.png,csr0072a_frontal_mask.png,csr0072a_lateral_mask.png,test
csr0073a,csr0073a_frontal.png,csr0073a_lateral.png,csr0073a_frontal_mask.png,csr0073a_lateral_mask.png,train
csr0074a,csr0074a_frontal.png,csr0074a_lateral.png,csr0074a_frontal_mask.png,csr0074a_lateral_mask.png,train
csr0075a,csr0075a_frontal.png,csr0075a_lateral.png,csr0075a_frontal_mask.png,csr0075a_lateral_mask.png,train
csr0076a,csr0076a_frontal.png,csr0076a_lateral.png,csr0076a_frontal_mask.png,csr0076a_lateral_mask.png,train
csr0078a,csr0078a_frontal.png,csr0078a_lateral.png,csr0078a_frontal_mask.png,csr0078a_lateral_mask.png,train
csr0079a,csr0079a_frontal.png,csr0079a_lateral.png,csr0079a_frontal_mask.png,csr0079a_lateral_mask.png,train
csr0080a,csr0080a_frontal.png,csr0080a_lateral.png,csr0080a_frontal_mask.png,csr0080a_lateral_mask.png,val
csr0081a,csr0081a_frontal.png,csr0081a_lateral.png,csr0081a_frontal_mask.png,csr0081a_lateral_mask.png,train
csr0082a,csr0082a_frontal.png,csr0082a_lateral.png,csr0082a_frontal_mask.png,csr0082a_lateral_mask.png,test
csr0083a,csr0083a_frontal.png,csr0083a_lateral.png,csr0083a_frontal_mask.png,csr0083a_lateral_mask.png,train
csr0084a,csr0084a_frontal.png,csr0084a_lateral.png,csr0084a_frontal_mask.png,csr0084a_lateral_mask.png,train
csr0085a,csr0085a_frontal.png,csr0085a_lateral.png,csr0085a_frontal_mask.png,csr0085a_lateral_mask.png,train
csr0086a,csr0086a_frontal.png,csr0086a_lateral.png,csr0086a_frontal_mask.png,csr0086a_lateral_mask.png,test
csr0087a,csr0087a_frontal.png,csr0087a_lateral.png,csr0087a_frontal_mask.png,csr0087a_lateral_mask.png,test
csr0088a,csr0088a_frontal.png,csr0088a_lateral.png,csr0088a_frontal_mask.png,csr0088a_lateral_mask.png,train
csr0089a,csr0089a_frontal.png,csr0089a_lateral.png,csr0089a_frontal_mask.png,csr0089a_lateral_mask.png,train
csr0090a,csr0090a_frontal.png,csr0090a_lateral.png,csr0090a_frontal_mask.png,csr0090a_lateral_mask.png,train
csr0092a,csr0092a_frontal.png,csr0092a_lateral.png,csr0092a_frontal_mask.png,csr0092a_lateral_mask.png,train
csr0093a,csr0093a_frontal.png,csr0093a_lateral.png,csr0093a_frontal_mask.png,csr0093a_lateral_mask.png,train
csr0094a,csr0094a_frontal.png,csr0094a_lateral.png,csr0094a_frontal_mask.png,csr0094a_lateral_mask.png,train
csr0095a,csr0095a_frontal.png,csr0095a_lateral.png,csr0095a_frontal_mask.png,csr0095a_lateral_mask.png,train
csr0096a,csr0096a_frontal.png,csr0096a_lateral.png,csr0096a_frontal_mask.png,csr0096a_lateral_mask.png,val
csr0097a,csr0097a_frontal.png,csr0097a_lateral.png,csr0097a_frontal_mask.png,csr0097a_lateral_mask.png,train
csr0098a,csr0098a_frontal.png,csr0098a_lateral.png,csr0098a_frontal_mask.png,csr0098a_lateral_mask.png,train
csr0099a,csr0099a_frontal.png,csr0099a_lateral.png,csr0099a_frontal_mask.png,csr0099a_lateral_mask.png,train
csr0100a,csr0100a_frontal.png,csr0100a_lateral.png,csr0100a_frontal_mask.png,csr0100a_lateral_mask.png,train
csr0103a,csr0103a_frontal.png,csr0103a_lateral.png,csr0103a_frontal_mask.png,csr0103a_lateral_mask.png,train
csr0104a,csr0104a_frontal.png,csr0104a_lateral.png,csr0104a_frontal_mask.png,csr0104a_lateral_mask.png,train
csr0105a,csr0105a_frontal.png,csr0105a_lateral.png,csr0105a_frontal_mask.png,csr0105a_lateral_mask.png,val
csr0106a,csr0106a_frontal.png,csr0106a_lateral.png,csr0106a_frontal_mask.png,csr0106a_lateral_mask.png,train
csr0107a,csr0107a_frontal.png,csr0107a_lateral.png,csr0107a_frontal_mask.png,csr0107a_lateral_mask.png,train
csr0108a,csr0108a_frontal.png,csr0108a_lateral.png,csr0108a_frontal_mask.png,csr0108a_lateral_mask.png,train
csr0112a,csr0112a_frontal.png,csr0112a_lateral.png,csr0112a_frontal_mask.png,csr0112a_lateral_mask.png,train
csr0113a,csr0113a_frontal.png,csr0113a_lateral.png,csr0113a_frontal_mask.png,csr0113a_lateral_mask.png,train
csr0114a,csr0114a_frontal.png,csr0114a_lateral.png,csr0114a_frontal_mask.png,csr0114a_lateral_mask.png,train
csr0115a,csr0115a_frontal.png,csr0115a_lateral.png,csr0115a_frontal_mask.png,csr0115a_lateral_mask.png,train
csr0116a,csr0116a_frontal.png,csr0116a_lateral.png,csr0116a_frontal_mask.png,csr0116a_lateral_mask.png,val
csr0117a,csr0117a_frontal.png,csr0117a_lateral.png,csr0117a_frontal_mask.png,csr0117a_lateral_mask.png,train
csr0118a,csr0118a_frontal.png,csr0118a_lateral.png,csr0118a_frontal_mask.png,csr0118a_lateral_mask.png,test
csr0119a,csr0119a_frontal.png,csr0119a_lateral.png,csr0119a_frontal_mask.png,csr0119a_lateral_mask.png,train
csr0121a,csr0121a_frontal.png,csr0121a_lateral.png,csr0121a_frontal_mask.png,csr0121a_lateral_mask.png,train
csr0122a,csr0122a_frontal.png,csr0122a_lateral.png,csr0122a_frontal_mask.png,csr0122a_lateral_mask.png,train
csr0123a,csr0123a_frontal.png,csr0123a_lateral.png,csr0123a_frontal_mask.png,csr0123a_lateral_mask.png,test
csr0125a,csr0125a_frontal.png,csr0125a_lateral.png,csr0125a_frontal_mask.png,csr0125a_lateral_mask.png,train
csr0126a,csr0126a_frontal.png,csr0126a_lateral.png,csr0126a_frontal_mask.png,csr0126a_lateral_mask.png,train
csr0127a,csr0127a_frontal.png,csr0127a_lateral.png,csr0127a_frontal_mask.png,csr0127a_lateral_mask.png,train
csr0128a,csr0128a_frontal.png,csr0128a_lateral.png,csr0128a_frontal_mask.png,csr0128a_lateral_mask.png,train
csr0129a,csr0129a_frontal.png,csr0129a_lateral.png,csr0129a_frontal_mask.png,csr0129a_lateral_mask.png,test
csr0130a,csr0130a_frontal.png,csr0130a_lateral.png,csr0130a_frontal_mask.png,csr0130a_lateral_mask.png,train
csr0131a,csr0131a_frontal.png,csr0131a_lateral.png,csr0131a_frontal_mask.png,csr0131a_lateral_mask.png,train
csr0132a,csr0132a_frontal.png,csr0132a_lateral.png,csr0132a_frontal_mask.png,csr0132a_lateral_mask.png,train
csr0133a,csr0133a_frontal.png,csr0133a_lateral.png,csr0133a_frontal_mask.png,csr0133a_lateral_mask.png,val
csr0134a,csr0134a_frontal.png,csr0134a_lateral.png,csr0134a_frontal_mask.png,csr0134a_lateral_mask.png,train
csr0135a,csr0135a_frontal.png,csr0135a_lateral.png,csr0135a_frontal_mask.png,csr0135a_lateral_mask.png,train
csr0136a,csr0136a_frontal.png,csr0136a_lateral.png,csr0136a_frontal_mask.png,csr0136a_lateral_mask.png,train
csr0137a,csr0137a_frontal.png,csr0137a_lateral.png,csr0137a_frontal_mask.png,csr0137a_lateral_mask.png,train
csr0138a,csr0138a_frontal.png,csr0138a_lateral.png,csr0138a_frontal_mask.png,csr0138a_lateral_mask.png,train
csr0139a,csr0139a_frontal.png,csr0139a_lateral.png,csr0139a_frontal_mask.png,csr0139a_lateral_mask.png,train
csr0140a,csr0140a_frontal.png,csr0140a_lateral.png,csr0140a_frontal_mask.png,csr0140a_lateral_mask.png,train
csr0142a,csr0142a_frontal.png,csr0142a_lateral.png,csr0142a_frontal_mask.png,csr0142a_lateral_mask.png,test
csr0143a,csr0143a_frontal.png,csr0143a_lateral.png,csr0143a_frontal_mask.png,csr0143a_lateral_mask.png,train
csr0144a,csr0144a_frontal.png,csr0144a_lateral.png,csr0144a_frontal_mask.png,csr0144a_lateral_mask.png,train
csr0145a,csr0145a_frontal.png,csr0145a_lateral.png,csr0145a_frontal_mask.png,csr0145a_lateral_mask.png,train
csr0146a,csr0146a_frontal.png,csr0146a_lateral.png,csr0146a_frontal_mask.png,csr0146a_lateral_mask.png,train
csr0147a,csr0147a_frontal.png,csr0147a_lateral.png,csr0147a_frontal_mask.png,csr0147a_lateral_mask.png,train
csr0148a,csr0148a_frontal.png,csr0148a_lateral.png,csr0148a_frontal_mask.png,csr0148a_lateral_mask.png,val
csr0149a,csr0149a_frontal.png,csr0149a_lateral.png,csr0149a_frontal_mask.png,csr0149a_lateral_mask.png,val
csr0150a,csr0150a_frontal.png,csr0150a_lateral.png,csr0150a_frontal_mask.png,csr0150a_lateral_mask.png,train
csr0151a,csr0151a_frontal.png,csr0151a_lateral.png,csr0151a_frontal_mask.png,csr0151a_lateral_mask.png,train
csr0152a,csr0152a_frontal.png,csr0152a_lateral.png,csr0152a_frontal_mask.png,csr0152a_lateral_mask.png,train
csr0154a,csr0154a_frontal.png,csr0154a_lateral.png,csr0154a_frontal_mask.png,csr0154a_lateral_mask.png,train
csr0156a,csr0156a_frontal.png,csr0156a_lateral.png,csr0156a_frontal_mask.png,csr0156a_lateral_mask.png,val
csr0157a,csr0157a_frontal.png,csr0157a_lateral.png,csr0157a_frontal_mask.png,csr0157a_lateral_mask.png,val
csr0158a,csr0158a_frontal.png,csr0158a_lateral.png,csr0158a_frontal_mask.png,csr0158a_lateral_mask.png,test
csr0159a,csr0159a_frontal.png,csr0159a_lateral.png,csr0159a_frontal_mask.png,csr0159a_lateral_mask.png,train
csr0160a,csr0160a_frontal.png,csr0160a_lateral.png,csr0160a_frontal_mask.png,csr0160a_lateral_mask.png,train
csr0161a,csr0161a_frontal.png,csr0161a_lateral.png,csr0161a_frontal_mask.png,csr0161a_lateral_mask.png,train
csr0163a,csr0163a_frontal.png,csr0163a_lateral.png,csr0163a_frontal_mask.png,csr0163a_lateral_mask.png,train
csr0164a,csr0164a_frontal.png,csr0164a_lateral.png,csr0164a_frontal_mask.png,csr0164a_lateral_mask.png,train
csr0165a,csr0165a_frontal.png,csr0165a_lateral.png,csr0165a_frontal_mask.png,csr0165a_lateral_mask.png,train
csr0166a,csr0166a_frontal.png,csr0166a_lateral.png,csr0166a_frontal_mask.png,csr0166a_lateral_mask.png,train
csr0167a,csr0167a_frontal.png,csr0167a_lateral.png,csr0167a_frontal_mask.png,csr0167a_lateral_mask.png,train
csr0168a,csr0168a_frontal.png,csr0168a_lateral.png,csr0168a_frontal_mask.png,csr0168a_lateral_mask.png,train
csr0169a,csr0169a_frontal.png,csr0169a_lateral.png,csr0169a_frontal_mask.png,csr0169a_lateral_mask.png,test
csr0170a,csr0170a_frontal.png,csr0170a_lateral.png,csr0170a_frontal_mask.png,csr0170a_lateral_mask.png,train
csr0171a,csr0171a_frontal.png,csr0171a_lateral.png,csr0171a_frontal_mask.png,csr0171a_lateral_mask.png,train
csr0172a,csr0172a_frontal.png,csr0172a_lateral.png,csr0172a_frontal_mask.png,csr0172a_lateral_mask.png,train
csr0173a,csr0173a_frontal.png,csr0173a_lateral.png,csr0173a_frontal_mask.png,csr0173a_lateral_mask.png,train
csr0174a,csr0174a_frontal.png,csr0174a_lateral.png,csr0174a_frontal_mask.png,csr0174a_lateral_mask.png,val
csr0175a,csr0175a_frontal.png,csr0175a_lateral.png,csr0175a_frontal_mask.png,csr0175a_lateral_mask.png,train
csr0176a,csr0176a_frontal.png,csr0176a_lateral.png,csr0176a_frontal_mask.png,csr0176a_lateral_mask.png,train
csr0177a,csr0177a_frontal.png,csr0177a_lateral.png,csr0177a_frontal_mask.png,csr0177a_lateral_mask.png,val
csr0178a,csr0178a_frontal.png,csr0178a_lateral.png,csr0178a_frontal_mask.png,csr0178a_lateral_mask.png,train
csr0179a,csr0179a_frontal.png,csr0179a_lateral.png,csr0179a_frontal_mask.png,csr0179a_lateral_mask.png,train
csr0180a,csr0180a_frontal.png,csr0180a_lateral.png,csr0180a_frontal_mask.png,csr0180a_lateral_mask.png,train
csr0182a,csr0182a_frontal.png,csr0182a_lateral.png,csr0182a_frontal_mask.png,csr0182a_lateral_mask.png,train
csr0183a,csr0183a_frontal.png,csr0183a_lateral.png,csr0183a_frontal_mask.png,csr0183a_lateral_mask.png,train
csr0184a,csr0184a_frontal.png,csr0184a_lateral.png,csr0184a_frontal_mask.png,csr0184a_lateral_mask.png,train
csr0185a,csr0185a_frontal.png,csr0185a_lateral.png,csr0185a_frontal_mask.png,csr0185a_lateral_mask.png,train
csr0186a,csr0186a_frontal.png,csr0186a_lateral.png,csr0186a_frontal_mask.png,csr0186a_lateral_mask.png,train
csr0187a,csr0187a_frontal.png,csr0187a_lateral.png,csr0187a_frontal_mask.png,csr0187a_lateral_mask.png,train
csr0188a,csr0188a_frontal.png,csr0188a_lateral.png,csr0188a_frontal_mask.png,csr0188a_lateral_mask.png,val
csr0189a,csr0189a_frontal.png,csr0189a_lateral.png,csr0189a_frontal_mask.png,csr0189a_lateral_mask.png,train
csr0190a,csr0190a_frontal.png,csr0190a_lateral.png,csr0190a_frontal_mask.png,csr0190a_lateral_mask.png,train
csr0192a,csr0192a_frontal.png,csr0192a_lateral.png,csr0192a_frontal_mask.png,csr0192a_lateral_mask.png,train
csr0193a,csr0193a_frontal.png,csr0193a_lateral.png,csr0193a_frontal_mask.png,csr0193a_lateral_mask.png,train
csr0195a,csr0195a_frontal.png,csr0195a_lateral.png,csr0195a_frontal_mask.png,csr0195a_lateral_mask.png,train
csr0196a,csr0196a_frontal.png,csr0196a_lateral.png,csr0196a_frontal_mask.png,csr0196a_lateral_mask.png,train
csr0197a,csr0197a_frontal.png,csr0197a_lateral.png,csr0197a_frontal_mask.png,csr0197a_lateral_mask.png,train
csr0198a,csr0198a_frontal.png,csr0198a_lateral.png,csr0198a_frontal_mask.png,csr0198a_lateral_mask.png,train
csr0199a,csr0199a_frontal.png,csr0199a_lateral.png,csr0199a_frontal_mask.png,csr0199a_lateral_mask.png,train
csr0201a,csr0201a_frontal.png,csr0201a_lateral.png,csr0201a_frontal_mask.png,csr0201a_lateral_mask.png,train
csr0203a,csr0203a_frontal.png,csr0203a_lateral.png,csr0203a_frontal_mask.png,csr0203a_lateral_mask.png,train
csr0204a,csr0204a_frontal.png,csr0204a_lateral.png,csr0204a_frontal_mask.png,csr0204a_lateral_mask.png,train
csr0205a,csr0205a_frontal.png,csr0205a_lateral.png,csr0205a_frontal_mask.png,csr0205a_lateral_mask.png,train
csr0206a,csr0206a_frontal.png,csr0206a_lateral.png,csr0206a_frontal_mask.png,csr0206a_lateral_mask.png,test
csr0207a,csr0207a_frontal.png,csr0207a_lateral.png,csr0207a_frontal_mask.png,csr0207a_lateral_mask.png,train
csr0208a,csr0208a_frontal.png,csr0208a_lateral.png,csr0208a_frontal_mask.png,csr0208a_lateral_mask.png,train
csr0209a,csr0209a_frontal.png,csr0209a_lateral.png,csr0209a_frontal_mask.png,csr0209a_lateral_mask.png,train
csr0210a,csr0210a_frontal.png,csr0210a_lateral.png,csr0210a_frontal_mask.png,csr0210a_lateral_mask.png,train
csr0211a,csr0211a_frontal.png,csr0211a_lateral.png,csr0211a_frontal_mask.png,csr0211a_lateral_mask.png,test
csr0212a,csr0212a_frontal.png,csr0212a_lateral.png,csr0212a_frontal_mask.png,csr0212a_lateral_mask.png,train
csr0213a,csr0213a_frontal.png,csr0213a_lateral.png,csr0213a_frontal_mask.png,csr0213a_lateral_mask.png,train
csr0214a,csr0214a_frontal.png,csr0214a_lateral.png,csr0214a_frontal_mask.png,csr0214a_lateral_mask.png,train
csr0215a,csr0215a_frontal.png,csr0215a_lateral.png,csr0215a_frontal_mask.png,csr0215a_lateral_mask.png,test
csr0216a,csr0216a_frontal.png,csr0216a_lateral.png,csr0216a_frontal_mask.png,csr0216a_lateral_mask.png,train
csr0217a,csr0217a_frontal.png,csr0217a_lateral.png,csr0217a_frontal_mask.png,csr0217a_lateral_mask.png,train
csr0218a,csr0218a_frontal.png,csr0218a_lateral.png,csr0218a_frontal_mask.png,csr0218a_lateral_mask.png,train
csr0219a,csr0219a_frontal.png,csr0219a_lateral.png,csr0219a_frontal_mask.png,csr0219a_lateral_mask.png,train
csr0220a,csr0220a_frontal.png,csr0220a_lateral.png,csr0220a_frontal_mask.png,csr0220a_lateral_mask.png,val
csr0222a,csr0222a_frontal.png,csr0222a_lateral.png,csr0222a_frontal_mask.png,csr0222a_lateral_mask.png,train
csr0223a,csr0223a_frontal.png,csr0223a_lateral.png,csr0223a_frontal_mask.png,csr0223a_lateral_mask.png,train
csr0224a,csr0224a_frontal.png,csr0224a_lateral.png,csr0224a_frontal_mask.png,csr0224a_lateral_mask.png,train
csr0225a,csr0225a_frontal.png,csr0225a_lateral.png,csr0225a_frontal_mask.png,csr0225a_lateral_mask.png,train
csr0226a,csr0226a_frontal.png,csr0226a_lateral.png,csr0226a_frontal_mask.png,csr0226a_lateral_mask.png,train
csr0227a,csr0227a_frontal.png,csr0227a_lateral.png,csr0227a_frontal_mask.png,csr0227a_lateral_mask.png,train
csr0228a,csr0228a_frontal.png,csr0228a_lateral.png,csr0228a_frontal_mask.png,csr0228a_lateral_mask.png,train
csr0229a,csr0229a_frontal.png,csr0229a_lateral.png,csr0229a_frontal_mask.png,csr0229a_lateral_mask.png,train
csr0231a,csr0231a_frontal.png,csr0231a_lateral.png,csr0231a_frontal_mask.png,csr0231a_lateral_mask.png,test
csr0232a,csr0232a_frontal.png,csr0232a_lateral.png,csr0232a_frontal_mask.png,csr0232a_lateral_mask.png,train
csr0233a,csr0233a_frontal.png,csr0233a_lateral.png,csr0233a_frontal_mask.png,csr0233a_lateral_mask.png,train
csr0234a,csr0234a_frontal.png,csr0234a_lateral.png,csr0234a_frontal_mask.png,csr0234a_lateral_mask.png,train
csr0235a,csr0235a_frontal.png,csr0235a_lateral.png,csr0235a_frontal_mask.png,csr0235a_lateral_mask.png,test
csr0236a,csr0236a_frontal.png,csr0236a_lateral.png,csr0236a_frontal_mask.png,csr0236a_lateral_mask.png,train
csr0237a,csr0237a_frontal.png,csr0237a_lateral.png,csr0237a_frontal_mask.png,csr0237a_lateral_mask.png,train
csr0238a,csr0238a_frontal.png,csr0238a_lateral.png,csr0238a_frontal_mask.png,csr0238a_lateral_mask.png,train
csr0239a,csr0239a_frontal.png,csr0239a_lateral.png,csr0239a_frontal_mask.png,csr0239a_lateral_mask.png,train
csr0240a,csr0240a_frontal.png,csr0240a_lateral.png,csr0240a_frontal_mask.png,csr0240a_lateral_mask.png,train
csr0241a,csr0241a_frontal.png,csr0241a_lateral.png,csr0241a_frontal_mask.png,csr0241a_lateral_mask.png,val
csr0242a,csr0242a_frontal.png,csr0242a_lateral.png,csr0242a_frontal_mask.png,csr0242a_lateral_mask.png,val
csr0243a,csr0243a_frontal.png,csr0243a_lateral.png,csr0243a_frontal_mask.png,csr0243a_lateral_mask.png,train
csr0244a,csr0244a_frontal.png,csr0244a_lateral.png,csr0244a_frontal_mask.png,csr0244a_lateral_mask.png,test
csr0245a,csr0245a_frontal.png,csr0245a_lateral.png,csr0245a_frontal_mask.png,csr0245a_lateral_mask.png,train
csr0246a,csr0246a_frontal.png,csr0246a_lateral.png,csr0246a_frontal_mask.png,csr0246a_lateral_mask.png,val
csr0247a,csr0247a_frontal.png,csr0247a_lateral.png,csr0247a_frontal_mask.png,csr0247a_lateral_mask.png,test
csr0249a,csr0249a_frontal.png,csr0249a_lateral.png,csr0249a_frontal_mask.png,csr0249a_lateral_mask.png,train
csr0250a,csr0250a_frontal.png,csr0250a_lateral.png,csr0250a_frontal_mask.png,csr0250a_lateral_mask.png,train
csr0251a,csr0251a_frontal.png,csr0251a_lateral.png,csr0251a_frontal_mask.png,csr0251a_lateral_mask.png,train
csr0252a,csr0252a_frontal.png,csr0252a_lateral.png,csr0252a_frontal_mask.png,csr0252a_lateral_mask.png,train
csr0253a,csr0253a_frontal.png,csr0253a_lateral.png,csr0253a_frontal_mask.png,csr0253a_lateral_mask.png,train
csr0254a,csr0254a_frontal.png,csr0254a_lateral.png,csr0254a_frontal_mask.png,csr0254a_lateral_mask.png,train
csr0255a,csr0255a_frontal.png,csr0255a_lateral.png,csr0255a_frontal_mask.png,csr0255a_lateral_mask.png,test
csr0256a,csr0256a_frontal.png,csr0256a_lateral.png,csr0256a_frontal_mask.png,csr0256a_lateral_mask.png,train
csr0257a,csr0257a_frontal.png,csr0257a_lateral.png,csr0257a_frontal_mask.png,csr0257a_lateral_mask.png,train
csr0258a,csr0258a_frontal.png,csr0258a_lateral.png,csr0258a_frontal_mask.png,csr0258a_lateral_mask.png,train
csr0259a,csr0259a_frontal.png,csr0259a_lateral.png,csr0259a_frontal_mask.png,csr0259a_lateral_mask.png,train
csr0260a,csr0260a_frontal.png,csr0260a_lateral.png,csr0260a_frontal_mask.png,csr0260a_lateral_mask.png,val
csr0261a,csr0261a_frontal.png,csr0261a_lateral.png,csr0261a_frontal_mask.png,csr0261a_lateral_mask.png,train
csr0263a,csr0263a_frontal.png,csr0263a_lateral.png,csr0263a_frontal_mask.png,csr0263a_lateral_mask.png,train
csr0264a,csr0264a_frontal.png,csr0264a_lateral.png,csr0264a_frontal_mask.png,csr0264a_lateral_mask.png,train
csr0265a,csr0265a_frontal.png,csr0265a_lateral.png,csr0265a_frontal_mask.png,csr0265a_lateral_mask.png,train
csr0266a,csr0266a_frontal.png,csr0266a_lateral.png,csr0266a_frontal_mask.png,csr0266a_lateral_mask.png,val
csr0267a,csr0267a_frontal.png,csr0267a_lateral.png,csr0267a_frontal_mask.png,csr0267a_lateral_mask.png,train
csr0268a,csr0268a_frontal.png,csr0268a_lateral.png,csr0268a_frontal_mask.png,csr0268a_lateral_mask.png,train
csr0269a,csr0269a_frontal.png,csr0269a_lateral.png,csr0269a_frontal_mask.png,csr0269a_lateral_mask.png,train
csr0270a,csr0270a_frontal.png,csr0270a_lateral.png,csr0270a_frontal_mask.png,csr0270a_lateral_mask.png,train
csr0271a,csr0271a_frontal.png,csr0271a_lateral.png,csr0271a_frontal_mask.png,csr0271a_lateral_mask.png,train
csr0272a,csr0272a_frontal.png,csr0272a_lateral.png,csr0272a_frontal_mask.png,csr0272a_lateral_mask.png,train
csr0273a,csr0273a_frontal.png,csr0273a_lateral.png,csr0273a_frontal_mask.png,csr0273a_lateral_mask.png,train
csr0274a,csr0274a_frontal.png,csr0274a_lateral.png,csr0274a_frontal_mask.png,csr0274a_lateral_mask.png,test
csr0275a,csr0275a_frontal.png,csr0275a_lateral.png,csr0275a_frontal_mask.png,csr0275a_lateral_mask.png,test
