Subject Number,Gender,"Acromial Height, Sitting (mm)",Ankle Circumference (mm),Spine-to-Shoulder (mm),Spine-to-Elbow (mm),Arm Length (Spine to Wrist) (mm),Arm Length (Shoulder to Wrist) (mm),Arm Length (Shoulder to Elbow) (mm),Armscye Circumference (Scye Circ Over Acromion) (mm),Bizygomatic Breadth (mm),Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Buttock-Knee Length (mm),Chest Girth at Scye (Chest Circumference at Scye)(mm),Crotch Height (mm),"Elbow Height, Sitting (mm)","Eye Height, Sitting (mm)",Face Length (mm),Foot Length (mm),Hand Circumference (mm),Hand Length (mm),Head Breadth (mm),Head Circumference (mm),Head Length (mm),"Hip Breadth, Sitting (mm)","Hip Circumference, Maximum (mm)",Hip Circ Max Height (mm),Knee Height (mm),Neck Base Circumference (mm),Shoulder Breadth (mm),Sitting Height (mm),Stature (mm),Subscapular Skinfold (mm),Thigh Circumference (mm),Thigh Circumference Max Sitting (mm),Thumb Tip Reach (mm),TTR 1 (mm),TTR 2 (mm),TTR 3 (mm),Triceps Skinfold (mm),Total Crotch Length (Crotch Length) (mm),Vertical Trunk Circumference (mm),"Waist Circumference, Pref (mm)",Waist Front Length (mm),"Waist Height, Preferred (mm)",Weight (kg),frontal_image,lateral_image,frontal_mask,lateral_mask
25,Male,603.0,279.0,242.0,571.0,890.0,648.0,329.0,451.0,137.0,1171.0,,622.0,1144.0,795.0,250.0,824.0,118.0,274.0,218.0,205.0,156.0,600.0,206.0,411.0,1085.0,932.0,588.0,481.0,539.0,941.0,1829.0,18.0,628.0,644.0,884.6,879.0,891.0,884.0,11.0,605.0,1784.0,1005.0,549.0,1021.0,99.77,csr0025a_frontal.png,csr0025a_lateral.png,csr0025a_frontal_mask.png,csr0025a_lateral_mask.png
27,Male,568.0,248.0,232.0,532.0,815.0,583.0,300.0,397.0,141.0,998.0,,602.0,988.0,786.0,234.0,765.0,120.0,254.0,197.0,181.0,155.0,574.0,199.0,380.0,956.0,846.0,540.0,450.0,489.0,884.0,1712.0,11.0,559.0,563.0,811.0,810.0,816.0,807.0,11.0,570.0,1594.0,846.0,426.0,991.0,69.61,csr0027a_frontal.png,csr0027a_lateral.png,csr0027a_frontal_mask.png,csr0027a_lateral_mask.png
28,Male,546.0,258.0,223.0,538.0,838.0,615.0,315.0,489.0,148.0,1122.0,,615.0,1153.0,746.0,199.0,769.0,109.0,256.0,217.0,189.0,159.0,568.0,193.0,376.0,1063.0,837.0,534.0,484.0,550.0,874.0,1680.0,0.0,641.0,645.0,815.3,826.0,815.0,805.0,6.5,724.0,1636.0,966.0,418.0,1009.0,90.02,csr0028a_frontal.png,csr0028a_lateral.png,csr0028a_frontal_mask.png,csr0028a_lateral_mask.png
29,Male,525.0,235.0,213.0,540.0,831.0,618.0,327.0,438.0,134.0,945.0,,589.0,984.0,721.0,175.0,728.0,114.0,247.0,208.0,188.0,146.0,551.0,196.0,353.0,985.0,817.0,512.0,466.0,497.0,829.0,1637.0,9.5,570.0,569.0,799.3,793.0,804.0,801.0,12.5,613.0,1594.0,846.0,404.0,956.0,69.16,csr0029a_frontal.png,csr0029a_lateral.png,csr0029a_frontal_mask.png,csr0029a_lateral_mask.png
30,Male,609.0,262.0,214.0,546.0,861.0,647.0,332.0,442.0,139.0,1015.0,,636.0,1062.0,824.0,233.0,824.0,132.0,278.0,209.0,212.0,151.0,569.0,196.0,380.0,1038.0,904.0,567.0,489.0,493.0,950.0,1819.0,13.5,590.0,602.0,817.6,815.0,820.0,818.0,8.0,655.0,1669.0,885.0,423.0,1073.0,81.41,csr0030a_frontal.png,csr0030a_lateral.png,csr0030a_frontal_mask.png,csr0030a_lateral_mask.png
47,Male,552.0,257.0,208.0,520.0,806.0,598.0,312.0,459.0,138.0,988.0,,625.0,1015.0,804.0,210.0,755.0,123.0,256.0,213.0,192.0,143.0,555.0,194.0,376.0,1034.0,913.0,560.0,440.0,489.0,854.0,1714.0,0.0,620.0,619.0,808.6,805.0,804.0,817.0,9.0,647.0,1590.0,863.0,403.0,1072.0,77.32,csr0047a_frontal.png,csr0047a_lateral.png,csr0047a_frontal_mask.png,csr0047a_lateral_mask.png
49,Male,603.0,262.0,230.0,580.0,893.0,663.0,350.0,439.0,135.0,1022.0,,638.0,1083.0,856.0,220.0,833.0,137.0,277.0,211.0,214.0,160.0,601.0,214.0,335.0,943.0,955.0,592.0,457.0,512.0,956.0,1854.0,13.5,571.0,544.0,833.0,838.0,826.0,835.0,2.0,630.0,1680.0,758.0,426.0,1107.0,76.64,csr0049a_frontal.png,csr0049a_lateral.png,csr0049a_frontal_mask.png,csr0049a_lateral_mask.png
50,Male,590.0,265.0,229.0,562.0,865.0,636.0,333.0,441.0,139.0,1072.0,,664.0,1108.0,823.0,233.0,805.0,122.0,257.0,214.0,203.0,152.0,584.0,204.0,427.0,1171.0,890.0,572.0,502.0,541.0,932.0,1803.0,22.0,672.0,667.0,800.3,789.0,807.0,805.0,30.0,670.0,1746.0,919.0,427.0,1062.0,93.42,csr0050a_frontal.png,csr0050a_lateral.png,csr0050a_frontal_mask.png,csr0050a_lateral_mask.png
51,Male,530.0,277.0,215.0,542.0,846.0,631.0,327.0,382.0,142.0,822.0,,604.0,848.0,799.0,179.0,799.0,124.0,279.0,230.0,218.0,154.0,602.0,215.0,338.0,912.0,856.0,555.0,436.0,459.0,912.0,1753.0,10.5,489.0,583.0,832.0,815.0,845.0,836.0,6.0,609.0,1554.0,740.0,395.0,1017.0,63.72,csr0051a_frontal.png,csr0051a_lateral.png,csr0051a_frontal_mask.png,csr0051a_lateral_mask.png
52,Female,555.0,215.0,178.0,459.0,695.0,517.0,281.0,315.0,127.0,805.0,683.0,535.0,781.0,721.0,248.0,719.0,114.0,226.0,170.0,177.0,145.0,538.0,173.0,364.0,911.0,750.0,471.0,405.0,389.0,846.0,1583.0,7.0,516.0,526.0,687.6,683.0,691.0,689.0,12.0,612.0,1423.0,580.0,332.0,965.0,47.17,csr0052a_frontal.png,csr0052a_lateral.png,csr0052a_frontal_mask.png,csr0052a_lateral_mask.png
53,Female,560.0,239.0,198.0,471.0,721.0,523.0,273.0,410.0,131.0,997.0,839.0,557.0,939.0,684.0,254.0,748.0,121.0,241.0,190.0,178.0,154.0,560.0,192.0,377.0,987.0,731.0,483.0,406.0,466.0,863.0,1576.0,22.0,562.0,582.0,723.6,706.0,745.0,720.0,17.0,687.0,1578.0,782.0,419.0,939.0,62.36,csr0053a_frontal.png,csr0053a_lateral.png,csr0053a_frontal_mask.png,csr0053a_lateral_mask.png
54,Female,576.0,238.0,194.0,510.0,773.0,579.0,316.0,403.0,134.0,958.0,784.0,577.0,913.0,716.0,232.0,772.0,113.0,249.0,186.0,190.0,143.0,534.0,178.0,464.0,1132.0,737.0,495.0,413.0,467.0,876.0,1619.0,24.0,705.0,721.0,747.6,744.0,754.0,745.0,28.0,760.0,1576.0,795.0,345.0,1009.0,75.74,csr0054a_frontal.png,csr0054a_lateral.png,csr0054a_frontal_mask.png,csr0054a_lateral_mask.png
55,Female,560.0,246.0,205.0,498.0,745.0,540.0,293.0,443.0,126.0,987.0,878.0,566.0,969.0,678.0,243.0,751.0,114.0,223.0,187.0,174.0,142.0,540.0,182.0,414.0,1054.0,746.0,481.0,403.0,470.0,859.0,1584.0,23.0,600.0,609.0,732.6,734.0,740.0,724.0,18.0,757.0,1615.0,809.0,355.0,980.0,67.12,csr0055a_frontal.png,csr0055a_lateral.png,csr0055a_frontal_mask.png,csr0055a_lateral_mask.png
56,Female,498.0,215.0,186.0,452.0,698.0,512.0,266.0,331.0,130.0,921.0,728.0,550.0,847.0,674.0,198.0,672.0,106.0,221.0,169.0,155.0,141.0,552.0,180.0,399.0,1002.0,725.0,461.0,363.0,429.0,784.0,1466.0,21.0,599.0,586.0,639.6,646.0,637.0,636.0,23.0,565.0,1348.0,735.0,352.0,889.0,51.93,csr0056a_frontal.png,csr0056a_lateral.png,csr0056a_frontal_mask.png,csr0056a_lateral_mask.png
57,Male,615.0,262.0,232.0,544.0,824.0,592.0,312.0,422.0,152.0,950.0,,590.0,1026.0,749.0,261.0,805.0,125.0,255.0,207.0,191.0,163.0,588.0,202.0,379.0,994.0,847.0,526.0,432.0,500.0,926.0,1721.0,19.0,594.0,596.0,804.3,794.0,815.0,804.0,8.0,650.0,1717.0,854.0,454.0,1002.0,78.0,csr0057a_frontal.png,csr0057a_lateral.png,csr0057a_frontal_mask.png,csr0057a_lateral_mask.png
58,Male,619.0,264.0,211.0,540.0,857.0,646.0,329.0,444.0,137.0,999.0,,606.0,1032.0,809.0,249.0,800.0,123.0,284.0,211.0,210.0,146.0,544.0,190.0,372.0,989.0,874.0,561.0,445.0,507.0,918.0,1765.0,8.5,571.0,575.0,822.0,818.0,821.0,827.0,6.0,623.0,1651.0,831.0,437.0,1036.0,74.15,csr0058a_frontal.png,csr0058a_lateral.png,csr0058a_frontal_mask.png,csr0058a_lateral_mask.png
59,Male,532.0,246.0,205.0,499.0,785.0,580.0,294.0,442.0,141.0,1013.0,,620.0,1052.0,749.0,214.0,717.0,110.0,258.0,200.0,191.0,150.0,546.0,186.0,376.0,1004.0,814.0,524.0,427.0,513.0,845.0,1655.0,24.0,594.0,600.0,776.3,773.0,782.0,774.0,15.0,599.0,1624.0,945.0,446.0,960.0,75.28,csr0059a_frontal.png,csr0059a_lateral.png,csr0059a_frontal_mask.png,csr0059a_lateral_mask.png
60,Female,616.0,252.0,201.0,521.0,809.0,608.0,320.0,401.0,142.0,984.0,867.0,614.0,976.0,798.0,254.0,794.0,123.0,253.0,198.0,186.0,150.0,560.0,191.0,423.0,1065.0,874.0,545.0,431.0,481.0,901.0,1721.0,33.0,650.0,630.0,777.0,775.0,784.0,772.0,27.0,749.0,1641.0,810.0,370.0,1096.0,76.42,csr0060a_frontal.png,csr0060a_lateral.png,csr0060a_frontal_mask.png,csr0060a_lateral_mask.png
62,Male,601.0,249.0,209.0,531.0,856.0,647.0,322.0,415.0,138.0,946.0,,606.0,988.0,837.0,230.0,807.0,117.0,271.0,197.0,200.0,151.0,576.0,198.0,362.0,946.0,896.0,562.0,477.0,494.0,936.0,1799.0,9.0,536.0,531.0,809.3,814.0,811.0,806.0,7.5,614.0,1592.0,776.0,382.0,1096.0,70.52,csr0062a_frontal.png,csr0062a_lateral.png,csr0062a_frontal_mask.png,csr0062a_lateral_mask.png
63,Male,604.0,292.0,274.0,608.0,922.0,648.0,334.0,508.0,146.0,1223.0,,676.0,1245.0,833.0,240.0,817.0,125.0,284.0,225.0,206.0,158.0,601.0,210.0,415.0,1128.0,929.0,603.0,488.0,609.0,928.0,1857.0,22.5,663.0,673.0,879.0,882.0,875.0,880.0,14.0,685.0,1856.0,1015.0,530.0,1094.0,116.1,csr0063a_frontal.png,csr0063a_lateral.png,csr0063a_frontal_mask.png,csr0063a_lateral_mask.png
65,Female,550.0,239.0,185.0,516.0,804.0,619.0,331.0,382.0,132.0,941.0,754.0,630.0,890.0,865.0,194.0,754.0,112.0,244.0,184.0,192.0,145.0,544.0,189.0,361.0,942.0,896.0,554.0,416.0,434.0,869.0,1740.0,19.0,555.0,562.0,797.0,797.0,794.0,800.0,10.0,680.0,1515.0,727.0,323.0,1122.0,63.27,csr0065a_frontal.png,csr0065a_lateral.png,csr0065a_frontal_mask.png,csr0065a_lateral_mask.png
68,Male,682.0,274.0,209.0,571.0,891.0,682.0,362.0,458.0,152.0,1133.0,,676.0,1178.0,830.0,282.0,844.0,123.0,283.0,213.0,214.0,165.0,592.0,202.0,425.0,1112.0,949.0,596.0,505.0,534.0,973.0,1886.0,19.5,638.0,629.0,833.3,834.0,836.0,830.0,8.0,724.0,1844.0,1018.0,475.0,1102.0,103.4,csr0068a_frontal.png,csr0068a_lateral.png,csr0068a_frontal_mask.png,csr0068a_lateral_mask.png
69,Female,590.0,238.0,197.0,497.0,735.0,538.0,300.0,402.0,137.0,872.0,735.0,550.0,873.0,742.0,267.0,779.0,118.0,235.0,190.0,178.0,151.0,560.0,187.0,389.0,975.0,763.0,497.0,387.0,434.0,904.0,1647.0,13.0,577.0,583.0,730.3,731.0,729.0,731.0,8.5,675.0,1526.0,663.0,361.0,1017.0,60.09,csr0069a_frontal.png,csr0069a_lateral.png,csr0069a_frontal_mask.png,csr0069a_lateral_mask.png
71,Male,655.0,272.0,224.0,584.0,895.0,671.0,360.0,473.0,150.0,1012.0,,625.0,1029.0,883.0,266.0,867.0,118.0,281.0,224.0,219.0,160.0,586.0,200.0,398.0,1040.0,993.0,594.0,503.0,512.0,990.0,1926.0,21.0,594.0,605.0,884.0,893.0,879.0,880.0,10.5,710.0,1794.0,927.0,444.0,1160.0,89.34,csr0071a_frontal.png,csr0071a_lateral.png,csr0071a_frontal_mask.png,csr0071a_lateral_mask.png
73,Male,665.0,257.0,212.0,544.0,837.0,625.0,332.0,488.0,156.0,1085.0,,603.0,1087.0,791.0,305.0,845.0,120.0,264.0,210.0,197.0,167.0,589.0,206.0,387.0,1026.0,891.0,561.0,481.0,561.0,965.0,1791.0,0.0,630.0,629.0,814.3,811.0,807.0,825.0,4.0,675.0,1767.0,899.0,437.0,1058.0,90.48,csr0073a_frontal.png,csr0073a_lateral.png,csr0073a_frontal_mask.png,csr0073a_lateral_mask.png
74,Female,570.0,222.0,182.0,494.0,752.0,570.0,312.0,353.0,127.0,838.0,693.0,560.0,812.0,754.0,246.0,758.0,113.0,233.0,174.0,170.0,142.0,545.0,188.0,365.0,930.0,778.0,495.0,412.0,415.0,870.0,1627.0,15.0,526.0,525.0,729.0,721.0,742.0,724.0,16.0,572.0,1470.0,708.0,379.0,975.0,51.02,csr0074a_frontal.png,csr0074a_lateral.png,csr0074a_frontal_mask.png,csr0074a_lateral_mask.png
75,Female,575.0,237.0,212.0,530.0,802.0,590.0,318.0,368.0,128.0,910.0,768.0,577.0,885.0,724.0,245.0,783.0,117.0,230.0,186.0,178.0,143.0,560.0,193.0,421.0,1035.0,735.0,494.0,404.0,441.0,896.0,1645.0,14.0,611.0,603.0,757.6,750.0,758.0,765.0,16.0,685.0,1539.0,679.0,348.0,1006.0,63.72,csr0075a_frontal.png,csr0075a_lateral.png,csr0075a_frontal_mask.png,csr0075a_lateral_mask.png
76,Female,523.0,226.0,207.0,497.0,752.0,545.0,290.0,389.0,126.0,990.0,798.0,565.0,928.0,702.0,207.0,736.0,109.0,224.0,184.0,171.0,144.0,546.0,187.0,453.0,1075.0,738.0,489.0,413.0,449.0,828.0,1557.0,15.0,652.0,646.0,671.0,677.0,662.0,674.0,18.0,664.0,1501.0,700.0,372.0,971.0,65.76,csr0076a_frontal.png,csr0076a_lateral.png,csr0076a_frontal_mask.png,csr0076a_lateral_mask.png
78,Female,596.0,243.0,200.0,502.0,771.0,571.0,302.0,365.0,137.0,885.0,776.0,551.0,851.0,749.0,253.0,781.0,111.0,261.0,193.0,192.0,151.0,569.0,197.0,381.0,969.0,759.0,522.0,400.0,424.0,902.0,1669.0,9.0,531.0,552.0,741.0,742.0,736.0,745.0,15.0,673.0,1547.0,661.0,355.0,1018.0,58.73,csr0078a_frontal.png,csr0078a_lateral.png,csr0078a_frontal_mask.png,csr0078a_lateral_mask.png
79,Male,611.0,266.0,215.0,539.0,837.0,622.0,324.0,409.0,137.0,995.0,,598.0,991.0,779.0,253.0,802.0,118.0,258.0,199.0,195.0,155.0,578.0,201.0,386.0,1035.0,831.0,537.0,453.0,495.0,927.0,1736.0,15.0,601.0,602.0,824.3,822.0,825.0,826.0,7.0,696.0,1655.0,793.0,394.0,1054.0,78.23,csr0079a_frontal.png,csr0079a_lateral.png,csr0079a_frontal_mask.png,csr0079a_lateral_mask.png
81,Male,643.0,283.0,218.0,554.0,874.0,656.0,336.0,469.0,143.0,1079.0,,641.0,1103.0,861.0,264.0,861.0,125.0,273.0,236.0,211.0,155.0,574.0,195.0,396.0,1059.0,958.0,606.0,480.0,528.0,976.0,1879.0,26.0,617.0,612.0,871.0,871.0,879.0,863.0,16.0,619.0,1782.0,936.0,522.0,1088.0,97.51,csr0081a_frontal.png,csr0081a_lateral.png,csr0081a_frontal_mask.png,csr0081a_lateral_mask.png
83,Female,481.0,218.0,201.0,515.0,804.0,603.0,314.0,354.0,135.0,844.0,706.0,586.0,840.0,789.0,145.0,716.0,122.0,240.0,178.0,179.0,144.0,548.0,194.0,391.0,957.0,818.0,520.0,380.0,431.0,816.0,1622.0,13.0,551.0,557.0,752.3,749.0,759.0,749.0,16.0,656.0,1398.0,647.0,306.0,1025.0,54.88,csr0083a_frontal.png,csr0083a_lateral.png,csr0083a_frontal_mask.png,csr0083a_lateral_mask.png
84,Female,613.0,246.0,201.0,511.0,795.0,594.0,310.0,390.0,128.0,1064.0,856.0,603.0,961.0,778.0,257.0,808.0,119.0,256.0,182.0,185.0,142.0,571.0,201.0,435.0,1097.0,845.0,531.0,436.0,465.0,937.0,1740.0,25.0,624.0,616.0,779.6,776.0,804.0,759.0,21.0,732.0,1641.0,879.0,382.0,1060.0,78.0,csr0084a_frontal.png,csr0084a_lateral.png,csr0084a_frontal_mask.png,csr0084a_lateral_mask.png
85,Male,613.0,264.0,210.0,559.0,822.0,612.0,349.0,451.0,143.0,960.0,,634.0,999.0,850.0,228.0,815.0,114.0,267.0,218.0,205.0,156.0,559.0,195.0,362.0,1004.0,913.0,577.0,480.0,494.0,936.0,1818.0,7.0,576.0,579.0,857.6,854.0,858.0,861.0,8.0,624.0,1689.0,831.0,438.0,1076.0,77.55,csr0085a_frontal.png,csr0085a_lateral.png,csr0085a_frontal_mask.png,csr0085a_lateral_mask.png
88,Male,603.0,258.0,208.0,515.0,801.0,593.0,307.0,389.0,138.0,981.0,,579.0,988.0,756.0,257.0,797.0,124.0,249.0,197.0,187.0,150.0,545.0,190.0,358.0,968.0,834.0,528.0,461.0,480.0,908.0,1694.0,11.5,573.0,575.0,785.0,778.0,792.0,785.0,13.0,616.0,1649.0,822.0,473.0,992.0,73.92,csr0088a_frontal.png,csr0088a_lateral.png,csr0088a_frontal_mask.png,csr0088a_lateral_mask.png
89,Female,572.0,221.0,181.0,483.0,757.0,576.0,302.0,342.0,126.0,881.0,728.0,572.0,844.0,808.0,245.0,735.0,111.0,230.0,172.0,172.0,143.0,560.0,199.0,359.0,895.0,878.0,517.0,420.0,416.0,857.0,1679.0,15.0,479.0,488.0,733.0,735.0,744.0,720.0,12.5,633.0,1480.0,706.0,357.0,1065.0,51.25,csr0089a_frontal.png,csr0089a_lateral.png,csr0089a_frontal_mask.png,csr0089a_lateral_mask.png
90,Female,535.0,238.0,192.0,506.0,785.0,593.0,314.0,343.0,139.0,834.0,725.0,585.0,812.0,756.0,183.0,753.0,119.0,253.0,179.0,198.0,159.0,579.0,195.0,376.0,958.0,785.0,508.0,411.0,405.0,857.0,1634.0,11.0,560.0,562.0,792.6,798.0,784.0,796.0,9.0,673.0,1472.0,681.0,339.0,1015.0,56.46,csr0090a_frontal.png,csr0090a_lateral.png,csr0090a_frontal_mask.png,csr0090a_lateral_mask.png
92,Female,538.0,234.0,196.0,499.0,764.0,568.0,303.0,398.0,137.0,991.0,822.0,625.0,946.0,729.0,204.0,711.0,106.0,238.0,190.0,178.0,145.0,548.0,184.0,433.0,1103.0,790.0,500.0,388.0,473.0,816.0,1582.0,28.0,659.0,659.0,717.3,722.0,721.0,709.0,23.0,748.0,1610.0,817.0,361.0,980.0,69.84,csr0092a_frontal.png,csr0092a_lateral.png,csr0092a_frontal_mask.png,csr0092a_lateral_mask.png
93,Female,543.0,226.0,179.0,472.0,733.0,554.0,293.0,408.0,132.0,900.0,756.0,581.0,881.0,700.0,213.0,706.0,107.0,234.0,191.0,177.0,152.0,539.0,178.0,401.0,1019.0,,498.0,392.0,432.0,813.0,1546.0,13.0,589.0,598.0,742.0,762.0,735.0,729.0,21.0,703.0,1528.0,716.0,309.0,969.0,59.64,csr0093a_frontal.png,csr0093a_lateral.png,csr0093a_frontal_mask.png,csr0093a_lateral_mask.png
94,Female,576.0,240.0,216.0,507.0,758.0,542.0,291.0,392.0,140.0,1073.0,902.0,606.0,977.0,690.0,263.0,754.0,123.0,233.0,189.0,178.0,150.0,554.0,185.0,431.0,1129.0,767.0,484.0,434.0,489.0,866.0,1610.0,23.0,661.0,658.0,705.6,716.0,705.0,696.0,22.0,755.0,1678.0,879.0,390.0,986.0,79.37,csr0094a_frontal.png,csr0094a_lateral.png,csr0094a_frontal_mask.png,csr0094a_lateral_mask.png
95,Female,550.0,225.0,184.0,454.0,702.0,518.0,270.0,326.0,128.0,839.0,714.0,533.0,806.0,666.0,254.0,728.0,103.0,232.0,185.0,175.0,144.0,533.0,185.0,365.0,931.0,698.0,462.0,375.0,385.0,841.0,1528.0,9.0,531.0,534.0,697.0,716.0,682.0,693.0,16.0,658.0,1446.0,616.0,334.0,928.0,49.21,csr0095a_frontal.png,csr0095a_lateral.png,csr0095a_frontal_mask.png,csr0095a_lateral_mask.png
97,Female,550.0,244.0,192.0,532.0,835.0,643.0,340.0,404.0,144.0,946.0,778.0,614.0,935.0,812.0,192.0,732.0,121.0,252.0,192.0,190.0,151.0,595.0,197.0,434.0,1097.0,862.0,541.0,420.0,476.0,856.0,1685.0,22.5,651.0,642.0,772.0,767.0,777.0,772.0,21.5,618.0,1517.0,780.0,380.0,1039.0,73.7,csr0097a_frontal.png,csr0097a_lateral.png,csr0097a_frontal_mask.png,csr0097a_lateral_mask.png
